 Iteration          f(x)      Gradient          Step       Eff. LR            LR 
         1       0.26572       0.99613       0.05000       0.05000       0.05000 
         2       0.21810       0.90821       0.06712       0.03712       0.05000 
         3       0.16120       0.78664       0.05768       0.03180       0.05000 
         4       0.11891       0.67934       0.05371       0.02886       0.05000 
         5       0.08515       0.57738       0.05108       0.02703       0.05000 
         6       0.05817       0.47885       0.04884       0.02581       0.05000 
         7       0.03711       0.38347       0.04661       0.02498       0.05000 
         8       0.02137       0.29161       0.04418       0.02440       0.05000 
         9       0.01042       0.20393       0.04146       0.02400       0.05000 
        10       0.00368       0.12128       0.03837       0.02374       0.05000 
        11       0.00050       0.04461       0.03488       0.02357       0.05000 
        12       0.00016       0.02515       0.03101       0.02349       0.05000 
        13       0.00190       0.08715       0.02681       0.02346       0.05000 
        14       0.00495       0.14067       0.02236       0.02349       0.05000 
        15       0.00860       0.18524       0.01778       0.02355       0.05000 
        16       0.01221       0.22062       0.01320       0.02365       0.05000 
        17       0.01529       0.24684       0.00873       0.02378       0.05000 
        18       0.01752       0.26415       0.00448       0.02393       0.05000 
        19       0.01873       0.27304       0.00055       0.02410       0.05000 
        20       0.01888       0.27413       0.00301       0.02429       0.05000 
        21       0.01806       0.26816       0.00616       0.02449       0.05000 
        22       0.01645       0.25595       0.00886       0.02470       0.05000 
        23       0.01425       0.23836       0.01111       0.02492       0.05000 
        24       0.01173       0.21628       0.01290       0.02515       0.05000 
        25       0.00910       0.19062       0.01423       0.02539       0.05000 
        26       0.00659       0.16227       0.01511       0.02563       0.05000 
        27       0.00437       0.13214       0.01554       0.02588       0.05000 
        28       0.00256       0.10111       0.01555       0.02613       0.05000 
        29       0.00123       0.07003       0.01517       0.02638       0.05000 
        30       0.00039       0.03971       0.01441       0.02664       0.05000 
        31       0.00003       0.01090       0.01331       0.02690       0.05000 
        32       0.00006       0.01572       0.01193       0.02715       0.05000 
        33       0.00039       0.03958       0.01031       0.02741       0.05000 
        34       0.00091       0.06019       0.00851       0.02767       0.05000 
        35       0.00149       0.07721       0.00660       0.02793       0.05000 
        36       0.00204       0.09040       0.00464       0.02818       0.05000 
        37       0.00248       0.09966       0.00268       0.02844       0.05000 
        38       0.00276       0.10503       0.00080       0.02869       0.05000 
        39       0.00284       0.10662       0.00096       0.02895       0.05000 
        40       0.00274       0.10470       0.00256       0.02920       0.05000 
        41       0.00248       0.09959       0.00395       0.02945       0.05000 
        42       0.00210       0.09170       0.00511       0.02970       0.05000 
        43       0.00166       0.08149       0.00601       0.02994       0.05000 
        44       0.00121       0.06948       0.00665       0.03018       0.05000 
        45       0.00079       0.05619       0.00702       0.03042       0.05000 
        46       0.00044       0.04215       0.00713       0.03066       0.05000 
        47       0.00019       0.02789       0.00699       0.03090       0.05000 
        48       0.00005       0.01392       0.00661       0.03113       0.05000 
        49       0.00000       0.00069       0.00604       0.03136       0.05000 
        50       0.00003       0.01139       0.00530       0.03159       0.05000 
        51       0.00012       0.02198       0.00442       0.03181       0.05000 
        52       0.00024       0.03082       0.00345       0.03203       0.05000 
        53       0.00036       0.03773       0.00243       0.03225       0.05000 
        54       0.00045       0.04259       0.00140       0.03247       0.05000 
        55       0.00052       0.04540       0.00040       0.03268       0.05000 
        56       0.00053       0.04620       0.00054       0.03289       0.05000 
        57       0.00051       0.04512       0.00138       0.03310       0.05000 
        58       0.00045       0.04237       0.00210       0.03331       0.05000 
        59       0.00036       0.03817       0.00268       0.03351       0.05000 
        60       0.00027       0.03281       0.00311       0.03371       0.05000 
        61       0.00018       0.02660       0.00337       0.03390       0.05000 
        62       0.00010       0.01985       0.00348       0.03410       0.05000 
        63       0.00004       0.01288       0.00344       0.03429       0.05000 
        64       0.00001       0.00600       0.00326       0.03448       0.05000 
        65       0.00000       0.00051       0.00295       0.03467       0.05000 
        66       0.00001       0.00642       0.00254       0.03485       0.05000 
        67       0.00003       0.01150       0.00206       0.03503       0.05000 
        68       0.00006       0.01563       0.00153       0.03521       0.05000 
        69       0.00009       0.01868       0.00097       0.03539       0.05000 
        70       0.00011       0.02062       0.00042       0.03556       0.05000 
        71       0.00012       0.02145       0.00011       0.03573       0.05000 
        72       0.00011       0.02123       0.00059       0.03590       0.05000 
        73       0.00010       0.02004       0.00101       0.03607       0.05000 
        74       0.00008       0.01803       0.00134       0.03623       0.05000 
        75       0.00006       0.01536       0.00158       0.03639       0.05000 
        76       0.00004       0.01220       0.00173       0.03655       0.05000 
        77       0.00002       0.00874       0.00178       0.03671       0.05000 
        78       0.00001       0.00518       0.00174       0.03687       0.05000 
        79       0.00000       0.00169       0.00163       0.03702       0.05000 
        80       0.00000       0.00156       0.00144       0.03717       0.05000 
