 Iteration          f(x)      Gradient          Step       Eff. LR            LR 
         1     783.30594    2948.15518       0.38079       0.05000       0.05000 
         2     544.18244    3104.54226       0.33630       0.03712       0.05000 
         3     174.20949     864.92166       0.24598       0.03180       0.05000 
         4     168.02500    1677.02145       0.18273       0.02886       0.05000 
         5     126.99809    1213.48357       0.16170       0.02703       0.05000 
         6     109.98948     953.62354       0.13633       0.02581       0.05000 
         7     123.67467    1472.14089       0.11936       0.02498       0.05000 
         8      88.75960    1117.67446       0.11423       0.02440       0.05000 
         9      61.78835     566.43217       0.09865       0.02400       0.05000 
        10      80.77594    1126.21443       0.07686       0.02374       0.05000 
        11      85.22788    1164.55865       0.07204       0.02357       0.05000 
        12      68.56364     682.64499       0.06928       0.02349       0.05000 
        13      69.20797     741.22090       0.05902       0.02346       0.05000 
        14      74.43578     997.49536       0.05636       0.02349       0.05000 
        15      60.60530     811.75156       0.06068       0.02355       0.05000 
        16      44.30786     371.21512       0.05921       0.02365       0.05000 
        17      45.54808     531.05111       0.05080       0.02378       0.05000 
        18      51.26723     766.84316       0.04790       0.02393       0.05000 
        19      44.64466     603.17730       0.05104       0.02410       0.05000 
        20      36.25876     265.62304       0.04908       0.02429       0.05000 
        21      37.51744     417.62648       0.04191       0.02449       0.05000 
        22      40.13205     592.37679       0.03891       0.02470       0.05000 
        23      35.04047     484.82089       0.04098       0.02492       0.05000 
        24      28.92200     180.17517       0.03885       0.02515       0.05000 
        25      30.77112     297.97615       0.03084       0.02539       0.05000 
        26      35.00403     480.24889       0.02744       0.02563       0.05000 
        27      33.06039     391.92513       0.03120       0.02588       0.05000 
        28      29.14903     165.34530       0.03146       0.02613       0.05000 
        29      29.37790     259.99145       0.02696       0.02638       0.05000 
        30      30.43614     364.15768       0.02490       0.02664       0.05000 
        31      28.38993     280.24420       0.02618       0.02690       0.05000 
        32      26.29538     123.52022       0.02451       0.02715       0.05000 
        33      27.17394     223.73990       0.02002       0.02741       0.05000 
        34      28.21426     301.58511       0.01979       0.02767       0.05000 
        35      26.65636     232.66569       0.02352       0.02793       0.05000 
        36      24.56673     121.71539       0.02482       0.02818       0.05000 
        37      24.17191     175.28971       0.02292       0.02844       0.05000 
        38      24.38662     217.07693       0.02063       0.02869       0.05000 
        39      23.95891     169.41827       0.01921       0.02895       0.05000 
        40      23.58434     129.40233       0.01776       0.02920       0.05000 
        41      23.70051     173.95109       0.01676       0.02945       0.05000 
        42      23.46340     181.48192       0.01714       0.02970       0.05000 
        43      22.67203     135.43168       0.01779       0.02994       0.05000 
        44      22.03450     110.09402       0.01768       0.03018       0.05000 
        45      21.80166     122.42694       0.01677       0.03042       0.05000 
        46      21.68779     133.78683       0.01585       0.03066       0.05000 
        47      21.29426     133.24246       0.01617       0.03090       0.05000 
        48      20.58572     107.63714       0.01673       0.03113       0.05000 
        49      20.12990      85.42031       0.01590       0.03136       0.05000 
        50      20.09376     100.92246       0.01510       0.03159       0.05000 
        51      19.96675      96.59709       0.01532       0.03181       0.05000 
        52      19.80676      72.42305       0.01418       0.03203       0.05000 
        53      19.93404      93.61028       0.01219       0.03225       0.05000 
        54      19.82505     101.91173       0.01320       0.03247       0.05000 
        55      19.27713      57.40487       0.01460       0.03268       0.05000 
        56      19.01810      48.74974       0.01350       0.03289       0.05000 
        57      19.06856      81.60190       0.01245       0.03310       0.05000 
        58      18.91162      59.88591       0.01252       0.03331       0.05000 
        59      18.81020      45.02287       0.01127       0.03351       0.05000 
        60      18.89577      79.55776       0.01014       0.03371       0.05000 
        61      18.73611      66.30807       0.01071       0.03390       0.05000 
        62      18.51605      28.35820       0.01019       0.03410       0.05000 
        63      18.54344      58.25830       0.00905       0.03429       0.05000 
        64      18.50566      61.38021       0.00930       0.03448       0.05000 
        65      18.35794      37.02177       0.00907       0.03467       0.05000 
        66      18.32096      45.86183       0.00832       0.03485       0.05000 
        67      18.26829      47.03607       0.00849       0.03503       0.05000 
        68      18.18406      34.10784       0.00814       0.03521       0.05000 
        69      18.18362      41.14669       0.00734       0.03539       0.05000 
        70      18.16115      40.06337       0.00751       0.03556       0.05000 
        71      18.09238      36.44967       0.00778       0.03573       0.05000 
        72      18.03225      36.82935       0.00775       0.03590       0.05000 
        73      17.97420      30.33606       0.00752       0.03607       0.05000 
        74      17.93940      34.93925       0.00711       0.03623       0.05000 
        75      17.89683      31.82994       0.00703       0.03639       0.05000 
        76      17.84861      25.99773       0.00698       0.03655       0.05000 
        77      17.81390      34.96860       0.00712       0.03671       0.05000 
        78      17.74189      24.67047       0.00750       0.03687       0.05000 
        79      17.68094      21.52003       0.00745       0.03702       0.05000 
        80      17.64089      33.39182       0.00751       0.03717       0.05000 
        81      17.56155      20.44524       0.00784       0.03732       0.05000 
        82      17.49726      20.78107       0.00803       0.03747       0.05000 
        83      17.43842      27.49954       0.00841       0.03761       0.05000 
        84      17.35714      12.51300       0.00856       0.03776       0.05000 
        85      17.30614      21.98872       0.00840       0.03790       0.05000 
        86      17.24552      24.83900       0.00855       0.03804       0.05000 
        87      17.15910      15.63452       0.00881       0.03818       0.05000 
        88      17.08182      21.44918       0.00909       0.03831       0.05000 
        89      16.99535      17.67908       0.00937       0.03845       0.05000 
        90      16.91149      14.37186       0.00947       0.03858       0.05000 
        91      16.83331      19.19797       0.00958       0.03871       0.05000 
        92      16.74374      16.78161       0.00974       0.03884       0.05000 
        93      16.64985      15.53944       0.00995       0.03897       0.05000 
        94      16.55493      14.51204       0.01017       0.03909       0.05000 
        95      16.46072      15.71204       0.01038       0.03922       0.05000 
        96      16.35889      14.79874       0.01061       0.03934       0.05000 
        97      16.25446      14.14115       0.01075       0.03946       0.05000 
        98      16.15083      15.91409       0.01093       0.03958       0.05000 
        99      16.04155      12.56519       0.01112       0.03970       0.05000 
       100      15.93517      14.44183       0.01132       0.03981       0.05000 
       101      15.82062      14.20649       0.01160       0.03993       0.05000 
       102      15.69965      12.80391       0.01178       0.04004       0.05000 
       103      15.58053      15.35215       0.01191       0.04015       0.05000 
       104      15.45567      14.06522       0.01205       0.04026       0.05000 
       105      15.32914      14.27820       0.01219       0.04037       0.05000 
