 Iteration          f(x)      Gradient          Step       Eff. LR            LR 
         1    5571.14932   10999.48905       0.52915       0.05000       0.05000 
         2    2754.30961    5433.85609       0.57689       0.03712       0.05000 
         3    1704.51072    5877.23388       0.40017       0.03180       0.05000 
         4    1069.95364    4225.72828       0.34427       0.02886       0.05000 
         5     641.90385    2415.73891       0.30330       0.02703       0.05000 
         6     477.80149    2335.27291       0.26596       0.02581       0.05000 
         7     406.27731    2386.89657       0.23469       0.02498       0.05000 
         8     333.41166    2082.72689       0.21223       0.02440       0.05000 
         9     249.63724    1720.36605       0.19626       0.02400       0.05000 
        10     169.73855    1423.53459       0.18291       0.02374       0.05000 
        11     108.22468    1120.79397       0.16976       0.02357       0.05000 
        12      79.52956     902.67660       0.15430       0.02349       0.05000 
        13      85.58762     955.05688       0.13630       0.02346       0.05000 
        14     106.57469    1111.78349       0.11964       0.02349       0.05000 
        15     118.77651    1157.85712       0.10800       0.02355       0.05000 
        16     115.16159    1079.08982       0.10090       0.02365       0.05000 
        17     103.85659     989.39483       0.09613       0.02378       0.05000 
        18      92.83924     979.03144       0.09258       0.02393       0.05000 
        19      82.04185     981.07240       0.08965       0.02410       0.05000 
        20      69.58129     895.19441       0.08619       0.02429       0.05000 
        21      58.53387     734.34385       0.08074       0.02449       0.05000 
        22      53.90911     627.30420       0.07283       0.02470       0.05000 
        23      56.27735     676.70588       0.06386       0.02492       0.05000 
        24      60.59431     789.95332       0.05704       0.02515       0.05000 
        25      60.09722     836.05870       0.05528       0.02539       0.05000 
        26      51.73310     756.70365       0.05750       0.02563       0.05000 
        27      39.15566     564.63263       0.05953       0.02588       0.05000 
        28      30.14252     371.09955       0.05773       0.02613       0.05000 
        29      29.74550     395.27893       0.05086       0.02638       0.05000 
        30      35.55461     541.55543       0.04111       0.02664       0.05000 
        31      40.49572     603.58581       0.03365       0.02690       0.05000 
        32      40.34989     549.37617       0.03175       0.02715       0.05000 
        33      36.78432     444.61405       0.03275       0.02741       0.05000 
        34      33.37176     385.10337       0.03336       0.02767       0.05000 
        35      31.39617     387.03826       0.03299       0.02793       0.05000 
        36      30.09164     385.90958       0.03187       0.02818       0.05000 
        37      28.98778     359.67222       0.02961       0.02844       0.05000 
        38      28.47557     338.97442       0.02604       0.02869       0.05000 
        39      28.58708     346.29040       0.02234       0.02895       0.05000 
        40      28.42830     361.27309       0.02075       0.02920       0.05000 
        41      27.04301     347.54352       0.02188       0.02945       0.05000 
        42      24.63840     283.16933       0.02343       0.02970       0.05000 
        43      22.83615     196.02622       0.02282       0.02994       0.05000 
        44      23.09724     198.66567       0.01946       0.03018       0.05000 
        45      24.75976     276.08785       0.01573       0.03042       0.05000 
        46      25.66342     304.44672       0.01529       0.03066       0.05000 
        47      24.90729     255.66119       0.01704       0.03090       0.05000 
        48      23.69855     185.98911       0.01749       0.03113       0.05000 
        49      23.18837     187.64707       0.01644       0.03136       0.05000 
        50      22.97541     214.67206       0.01574       0.03159       0.05000 
        51      22.38710     192.39225       0.01568       0.03181       0.05000 
