 Iteration          f(x)      Gradient          Step       Eff. LR            LR 
         1    2656.32597    6604.21898       0.45826       0.05000       0.05000 
         2    1027.53182    3026.25226       0.50433       0.03712       0.05000 
         3     507.15367    2477.71054       0.35258       0.03180       0.05000 
         4     396.40272    2297.80018       0.28940       0.02886       0.05000 
         5     334.38785    1726.52519       0.23904       0.02703       0.05000 
         6     347.97956    1647.76129       0.19216       0.02581       0.05000 
         7     358.48024    1743.08596       0.16417       0.02498       0.05000 
         8     319.47345    1625.45055       0.15347       0.02440       0.05000 
         9     253.21181    1363.56776       0.14762       0.02400       0.05000 
        10     194.26203    1142.00175       0.14029       0.02374       0.05000 
        11     153.56709    1000.17286       0.13193       0.02357       0.05000 
        12     131.02354     989.82398       0.12260       0.02349       0.05000 
        13     120.29200    1086.60834       0.11339       0.02346       0.05000 
        14     108.46415    1091.55804       0.10597       0.02349       0.05000 
        15      90.67314     924.78760       0.09946       0.02355       0.05000 
        16      74.49433     698.44846       0.09246       0.02365       0.05000 
        17      66.77238     589.40893       0.08541       0.02378       0.05000 
        18      66.33440     624.29937       0.07883       0.02393       0.05000 
        19      67.94866     693.66521       0.07360       0.02410       0.05000 
        20      66.45035     729.12726       0.07083       0.02429       0.05000 
        21      58.84384     686.29240       0.07022       0.02449       0.05000 
        22      47.36734     546.93104       0.06902       0.02470       0.05000 
        23      39.24476     384.90225       0.06422       0.02492       0.05000 
        24      39.36797     386.02688       0.05581       0.02515       0.05000 
        25      43.99096     502.21601       0.04833       0.02539       0.05000 
        26      45.39238     555.64096       0.04631       0.02563       0.05000 
        27      40.91453     521.75687       0.04804       0.02588       0.05000 
        28      33.69761     444.96256       0.04943       0.02613       0.05000 
        29      27.60557     358.18148       0.04857       0.02638       0.05000 
        30      24.80183     288.49592       0.04485       0.02664       0.05000 
        31      25.81010     300.30897       0.03853       0.02690       0.05000 
        32      28.80523     368.10471       0.03221       0.02715       0.05000 
        33      30.48143     391.34821       0.02954       0.02741       0.05000 
        34      29.52745     347.15756       0.03007       0.02767       0.05000 
        35      27.37301     288.91404       0.03089       0.02793       0.05000 
        36      25.34041     257.65387       0.03121       0.02818       0.05000 
        37      23.70404     233.35947       0.03072       0.02844       0.05000 
        38      22.85001     222.12818       0.02859       0.02869       0.05000 
        39      22.75970     240.03907       0.02570       0.02895       0.05000 
        40      22.35120     245.41714       0.02452       0.02920       0.05000 
        41      21.00344     211.42611       0.02515       0.02945       0.05000 
        42      19.55045     168.84637       0.02522       0.02970       0.05000 
        43      18.93044     158.55467       0.02367       0.02994       0.05000 
        44      19.08420     162.15771       0.02096       0.03018       0.05000 
        45      19.50399     165.41225       0.01820       0.03042       0.05000 
        46      19.66096     170.99855       0.01743       0.03066       0.05000 
        47      19.15416     153.87994       0.01886       0.03090       0.05000 
        48      18.37783     112.98487       0.01941       0.03113       0.05000 
        49      18.13863     108.73243       0.01749       0.03136       0.05000 
        50      18.34436     134.03310       0.01495       0.03159       0.05000 
        51      18.32130     134.88604       0.01417       0.03181       0.05000 
        52      17.94316     123.61677       0.01479       0.03203       0.05000 
        53      17.41792     113.35524       0.01553       0.03225       0.05000 
        54      16.92411      88.43368       0.01531       0.03247       0.05000 
        55      16.76277      73.18886       0.01347       0.03268       0.05000 
        56      16.95612      95.38305       0.01122       0.03289       0.05000 
        57      17.07180     109.06715       0.01076       0.03310       0.05000 
        58      16.86437     103.67052       0.01180       0.03331       0.05000 
        59      16.46664      90.20962       0.01274       0.03351       0.05000 
        60      16.09539      65.80018       0.01264       0.03371       0.05000 
        61      15.97380      49.19030       0.01112       0.03390       0.05000 
        62      16.11174      69.94719       0.00934       0.03410       0.05000 
        63      16.21265      82.03207       0.00901       0.03429       0.05000 
        64      16.12959      73.58409       0.00944       0.03448       0.05000 
        65      15.98892      64.20534       0.00955       0.03467       0.05000 
        66      15.86419      57.24208       0.00952       0.03485       0.05000 
        67      15.77226      51.55598       0.00922       0.03503       0.05000 
        68      15.72285      56.70109       0.00878       0.03521       0.05000 
        69      15.63574      56.89890       0.00883       0.03539       0.05000 
        70      15.48891      44.89475       0.00908       0.03556       0.05000 
        71      15.37578      36.38940       0.00898       0.03573       0.05000 
        72      15.33398      36.98294       0.00864       0.03590       0.05000 
        73      15.32463      42.45488       0.00840       0.03607       0.05000 
        74      15.28541      46.17263       0.00854       0.03623       0.05000 
        75      15.19167      36.35847       0.00863       0.03639       0.05000 
        76      15.12278      24.66415       0.00800       0.03655       0.05000 
        77      15.12001      32.88579       0.00709       0.03671       0.05000 
        78      15.10396      37.42976       0.00686       0.03687       0.05000 
        79      15.02781      34.22461       0.00731       0.03702       0.05000 
        80      14.91942      27.79902       0.00781       0.03717       0.05000 
        81      14.82740      20.00689       0.00788       0.03732       0.05000 
        82      14.78147      22.25328       0.00754       0.03747       0.05000 
        83      14.75609      26.89352       0.00721       0.03761       0.05000 
        84      14.71524      27.04110       0.00725       0.03776       0.05000 
        85      14.64688      23.27550       0.00771       0.03790       0.05000 
        86      14.56809      15.96298       0.00803       0.03804       0.05000 
        87      14.51427      17.62662       0.00785       0.03818       0.05000 
        88      14.47981      22.57032       0.00751       0.03831       0.05000 
        89      14.43483      21.61996       0.00740       0.03845       0.05000 
        90      14.37538      19.19874       0.00747       0.03858       0.05000 
        91      14.31328      17.12166       0.00751       0.03871       0.05000 
        92      14.25832      17.74474       0.00752       0.03884       0.05000 
        93      14.20331      18.24412       0.00764       0.03897       0.05000 
        94      14.14286      15.67758       0.00779       0.03909       0.05000 
        95      14.08402      14.15278       0.00787       0.03922       0.05000 
        96      14.02931      13.81677       0.00787       0.03934       0.05000 
        97      13.97930      16.06584       0.00779       0.03946       0.05000 
        98      13.92518      16.41415       0.00778       0.03958       0.05000 
        99      13.86403      12.88192       0.00782       0.03970       0.05000 
       100      13.80594      11.69387       0.00783       0.03981       0.05000 
       101      13.75254      12.88864       0.00785       0.03993       0.05000 
       102      13.69888      14.60663       0.00794       0.04004       0.05000 
       103      13.63812      13.18130       0.00808       0.04015       0.05000 
       104      13.57538      10.45117       0.00815       0.04026       0.05000 
       105      13.51753      10.56205       0.00815       0.04037       0.05000 
       106      13.46161      11.13329       0.00815       0.04048       0.05000 
       107      13.40510      12.26536       0.00818       0.04058       0.05000 
       108      13.34516      10.93432       0.00824       0.04069       0.05000 
       109      13.28494       9.57346       0.00829       0.04079       0.05000 
       110      13.22661      10.06958       0.00833       0.04090       0.05000 
       111      13.16864      10.87311       0.00837       0.04100       0.05000 
       112      13.10902      10.49330       0.00842       0.04110       0.05000 
       113      13.04845       9.10432       0.00845       0.04119       0.05000 
       114      12.98948       9.70838       0.00848       0.04129       0.05000 
       115      12.92960       9.93678       0.00852       0.04139       0.05000 
       116      12.86803       9.32845       0.00857       0.04148       0.05000 
       117      12.80649       8.27083       0.00862       0.04158       0.05000 
       118      12.74658       8.77746       0.00866       0.04167       0.05000 
       119      12.68650       9.10433       0.00871       0.04176       0.05000 
       120      12.62531       8.87979       0.00875       0.04185       0.05000 
       121      12.56367       8.43637       0.00878       0.04194       0.05000 
       122      12.50261       8.46499       0.00879       0.04203       0.05000 
       123      12.44176       8.74626       0.00881       0.04212       0.05000 
       124      12.38012       8.54417       0.00882       0.04220       0.05000 
       125      12.31805       8.30027       0.00884       0.04229       0.05000 
       126      12.25621       8.13038       0.00887       0.04237       0.05000 
       127      12.19467       8.22796       0.00892       0.04245       0.05000 
       128      12.13275       7.90558       0.00897       0.04254       0.05000 
       129      12.07084       7.85086       0.00901       0.04262       0.05000 
       130      12.00906       7.82706       0.00904       0.04270       0.05000 
       131      11.94728       7.97783       0.00907       0.04278       0.05000 
       132      11.88518       7.80444       0.00910       0.04286       0.05000 
       133      11.82315       7.72628       0.00912       0.04293       0.05000 
       134      11.76126       7.72409       0.00916       0.04301       0.05000 
       135      11.69927       7.73280       0.00921       0.04308       0.05000 
       136      11.63707       7.55879       0.00924       0.04316       0.05000 
       137      11.57513       7.56979       0.00925       0.04323       0.05000 
       138      11.51338       7.61893       0.00926       0.04331       0.05000 
       139      11.45152       7.53334       0.00927       0.04338       0.05000 
       140      11.38966       7.38305       0.00930       0.04345       0.05000 
       141      11.32797       7.36791       0.00933       0.04352       0.05000 
       142      11.26630       7.38679       0.00936       0.04359       0.05000 
       143      11.20463       7.39077       0.00937       0.04366       0.05000 
       144      11.14310       7.42029       0.00937       0.04373       0.05000 
       145      11.08167       7.37574       0.00938       0.04379       0.05000 
       146      11.02029       7.24743       0.00940       0.04386       0.05000 
       147      10.95902       7.09910       0.00943       0.04393       0.05000 
       148      10.89794       7.09203       0.00946       0.04399       0.05000 
