 Iteration          f(x)      Gradient          Step       Eff. LR            LR 
         1     507.18191    1534.48276       0.26458       0.05000       0.05000 
         2     295.71373     864.63348       0.29138       0.03712       0.05000 
         3     191.31988     571.66724       0.20832       0.03180       0.05000 
         4     144.93946     585.41033       0.18036       0.02886       0.05000 
         5      99.87855     492.28730       0.16804       0.02703       0.05000 
         6      67.12894     325.95882       0.15419       0.02581       0.05000 
         7      58.71593     286.51873       0.13233       0.02498       0.05000 
         8      66.57627     412.14767       0.11097       0.02440       0.05000 
         9      70.74844     473.56751       0.10019       0.02400       0.05000 
        10      63.14456     423.68730       0.09788       0.02374       0.05000 
        11      50.18667     309.54794       0.09632       0.02357       0.05000 
        12      40.67729     209.47154       0.09082       0.02349       0.05000 
        13      37.94356     204.17123       0.08117       0.02346       0.05000 
        14      39.36950     258.41550       0.07063       0.02349       0.05000 
        15      40.09980     295.15557       0.06346       0.02355       0.05000 
        16      37.13920     288.00602       0.06122       0.02365       0.05000 
        17      31.06587     236.34953       0.06145       0.02378       0.05000 
        18      24.93137     154.01909       0.06038       0.02393       0.05000 
        19      21.80261      77.32077       0.05562       0.02410       0.05000 
        20      22.63364      97.90018       0.04714       0.02429       0.05000 
        21      25.73137     160.30672       0.03794       0.02449       0.05000 
        22      28.18010     197.39118       0.03331       0.02470       0.05000 
        23      28.02477     199.71382       0.03554       0.02492       0.05000 
        24      25.33716     171.90127       0.04059       0.02515       0.05000 
        25      21.65048     124.94245       0.04413       0.02539       0.05000 
        26      18.68604      74.24663       0.04430       0.02563       0.05000 
        27      17.37987      47.94094       0.04094       0.02588       0.05000 
        28      17.63724      67.96740       0.03495       0.02613       0.05000 
        29      18.68347      95.78672       0.02794       0.02638       0.05000 
        30      19.60598     113.78325       0.02229       0.02664       0.05000 
        31      19.76661     119.02304       0.02059       0.02690       0.05000 
        32      18.98882     111.49745       0.02294       0.02715       0.05000 
        33      17.54981      92.39607       0.02650       0.02741       0.05000 
        34      16.01977      64.42257       0.02881       0.02767       0.05000 
        35      14.99140      34.42086       0.02867       0.02793       0.05000 
        36      14.78487      29.44322       0.02584       0.02818       0.05000 
        37      15.27252      54.21318       0.02109       0.02844       0.05000 
        38      15.95697      75.58915       0.01650       0.02869       0.05000 
        39      16.28897      84.81056       0.01513       0.02895       0.05000 
        40      16.01209      80.28459       0.01752       0.02920       0.05000 
        41      15.28333      64.02207       0.02061       0.02945       0.05000 
        42      14.50804      40.61337       0.02217       0.02970       0.05000 
        43      14.04897      18.45175       0.02152       0.02994       0.05000 
        44      14.02212      22.15488       0.01893       0.03018       0.05000 
        45      14.28124      39.53844       0.01540       0.03042       0.05000 
        46      14.55137      51.67604       0.01265       0.03066       0.05000 
        47      14.60206      55.68009       0.01242       0.03090       0.05000 
        48      14.36427      51.27431       0.01428       0.03113       0.05000 
        49      13.94558      39.56264       0.01625       0.03136       0.05000 
        50      13.54976      23.29974       0.01699       0.03159       0.05000 
        51      13.34706      11.82314       0.01606       0.03181       0.05000 
        52      13.36894      22.40968       0.01385       0.03203       0.05000 
        53      13.49629      35.20340       0.01155       0.03225       0.05000 
        54      13.55437      41.49230       0.01078       0.03247       0.05000 
        55      13.44448      39.71522       0.01186       0.03268       0.05000 
        56      13.20725      30.95197       0.01328       0.03289       0.05000 
        57      12.97181      18.74201       0.01379       0.03310       0.05000 
        58      12.84449      12.19727       0.01306       0.03331       0.05000 
        59      12.83363      19.20464       0.01157       0.03351       0.05000 
        60      12.86145      26.84047       0.01037       0.03371       0.05000 
        61      12.83716      29.65122       0.01034       0.03390       0.05000 
        62      12.72567      26.91850       0.01129       0.03410       0.05000 
        63      12.56423      19.71035       0.01221       0.03429       0.05000 
        64      12.42462      11.13606       0.01238       0.03448       0.05000 
        65      12.35473      10.25239       0.01168       0.03467       0.05000 
        66      12.34386      17.23588       0.01053       0.03485       0.05000 
        67      12.33690      22.26163       0.00972       0.03503       0.05000 
        68      12.28458      22.57212       0.00973       0.03521       0.05000 
        69      12.18515      18.14332       0.01020       0.03539       0.05000 
        70      12.08050      11.02830       0.01043       0.03556       0.05000 
        71      12.01299       7.81795       0.01013       0.03573       0.05000 
        72      11.98620      12.92502       0.00958       0.03590       0.05000 
        73      11.96601      17.39251       0.00935       0.03607       0.05000 
        74      11.91709      17.87845       0.00968       0.03623       0.05000 
        75      11.83689      14.20753       0.01019       0.03639       0.05000 
        76      11.75496       8.26839       0.01034       0.03655       0.05000 
        77      11.70081       6.69581       0.00995       0.03671       0.05000 
        78      11.67417      11.56893       0.00930       0.03687       0.05000 
        79      11.64821      14.84064       0.00889       0.03702       0.05000 
        80      11.60050      14.26680       0.00889       0.03717       0.05000 
        81      11.53660      10.30910       0.00900       0.03732       0.05000 
        82      11.48030       6.04756       0.00889       0.03747       0.05000 
        83      11.44464       7.58326       0.00861       0.03761       0.05000 
        84      11.41827      11.01574       0.00848       0.03776       0.05000 
        85      11.38153      11.76206       0.00869       0.03790       0.05000 
        86      11.33029       9.33565       0.00899       0.03804       0.05000 
