 Iteration          f(x)      Gradient          Step       Eff. LR            LR 
       110      13.53657       4.27149       0.00755       0.04090       0.05000 
       111      13.50997       4.00662       0.00761       0.04100       0.05000 
       112      13.48392       3.95640       0.00768       0.04110       0.05000 
       113      13.45820       4.05546       0.00775       0.04119       0.05000 
       114      13.43227       4.01651       0.00783       0.04129       0.05000 
       115      13.40615       3.84937       0.00789       0.04139       0.05000 
       116      13.38033       3.84121       0.00791       0.04148       0.05000 
       117      13.35486       4.00290       0.00791       0.04158       0.05000 
       118      13.32924       4.02632       0.00793       0.04167       0.05000 
       119      13.30332       3.82139       0.00798       0.04176       0.05000 
       120      13.27749       3.62518       0.00804       0.04185       0.05000 
       121      13.25200       3.60996       0.00811       0.04194       0.05000 
       122      13.22665       3.65570       0.00818       0.04203       0.05000 
       123      13.20120       3.63544       0.00826       0.04212       0.05000 
       124      13.17570       3.58448       0.00832       0.04220       0.05000 
       125      13.15030       3.56524       0.00838       0.04229       0.05000 
       126      13.12496       3.55898       0.00844       0.04237       0.05000 
       127      13.09959       3.52220       0.00850       0.04245       0.05000 
       128      13.07417       3.47231       0.00856       0.04254       0.05000 
       129      13.04878       3.46681       0.00862       0.04262       0.05000 
       130      13.02342       3.49541       0.00867       0.04270       0.05000 
       131      12.99799       3.47652       0.00874       0.04278       0.05000 
       132      12.97248       3.39111       0.00882       0.04286       0.05000 
       133      12.94695       3.31228       0.00892       0.04293       0.05000 
       134      12.92136       3.27844       0.00903       0.04301       0.05000 
       135      12.89561       3.26195       0.00914       0.04308       0.05000 
       136      12.86974       3.26708       0.00923       0.04316       0.05000 
       137      12.84381       3.30943       0.00930       0.04323       0.05000 
       138      12.81780       3.33872       0.00937       0.04331       0.05000 
       139      12.79161       3.30607       0.00945       0.04338       0.05000 
       140      12.76525       3.24346       0.00955       0.04345       0.05000 
       141      12.73874       3.20675       0.00965       0.04352       0.05000 
       142      12.71206       3.19925       0.00977       0.04359       0.05000 
       143      12.68514       3.19749       0.00988       0.04366       0.05000 
       144      12.65798       3.19726       0.00999       0.04373       0.05000 
       145      12.63060       3.20128       0.01011       0.04379       0.05000 
       146      12.60297       3.20085       0.01022       0.04386       0.05000 
       147      12.57504       3.19617       0.01033       0.04393       0.05000 
       148      12.54683       3.20587       0.01045       0.04399       0.05000 
       149      12.51831       3.23056       0.01056       0.04405       0.05000 
       150      12.48943       3.24250       0.01068       0.04412       0.05000 
       151      12.46019       3.23399       0.01080       0.04418       0.05000 
       152      12.43057       3.22913       0.01093       0.04424       0.05000 
       153      12.40055       3.23946       0.01106       0.04430       0.05000 
       154      12.37009       3.25824       0.01119       0.04436       0.05000 
       155      12.33918       3.28586       0.01132       0.04442       0.05000 
       156      12.30780       3.31769       0.01144       0.04448       0.05000 
       157      12.27590       3.33710       0.01157       0.04454       0.05000 
       158      12.24347       3.34340       0.01171       0.04460       0.05000 
       159      12.21048       3.35387       0.01185       0.04466       0.05000 
       160      12.17691       3.37631       0.01199       0.04471       0.05000 
       161      12.14273       3.40410       0.01214       0.04477       0.05000 
       162      12.10792       3.43040       0.01229       0.04482       0.05000 
       163      12.07243       3.45371       0.01245       0.04488       0.05000 
       164      12.03625       3.47721       0.01260       0.04493       0.05000 
       165      11.99934       3.50702       0.01276       0.04499       0.05000 
       166      11.96168       3.54516       0.01292       0.04504       0.05000 
       167      11.92325       3.58383       0.01308       0.04509       0.05000 
       168      11.88402       3.61385       0.01325       0.04514       0.05000 
       169      11.84395       3.63734       0.01342       0.04520       0.05000 
       170      11.80303       3.66424       0.01359       0.04525       0.05000 
       171      11.76123       3.70138       0.01377       0.04530       0.05000 
       172      11.71851       3.74885       0.01394       0.04535       0.05000 
       173      11.67487       3.79821       0.01411       0.04539       0.05000 
       174      11.63027       3.83795       0.01428       0.04544       0.05000 
       175      11.58471       3.86768       0.01446       0.04549       0.05000 
       176      11.53815       3.89771       0.01464       0.04554       0.05000 
       177      11.49058       3.93563       0.01483       0.04558       0.05000 
       178      11.44199       3.98158       0.01501       0.04563       0.05000 
       179      11.39236       4.02913       0.01519       0.04568       0.05000 
       180      11.34169       4.06931       0.01536       0.04572       0.05000 
       181      11.28997       4.10070       0.01554       0.04577       0.05000 
       182      11.23720       4.13030       0.01572       0.04581       0.05000 
       183      11.18337       4.16380       0.01591       0.04585       0.05000 
       184      11.12848       4.20123       0.01608       0.04590       0.05000 
       185      11.07255       4.23862       0.01626       0.04594       0.05000 
       186      11.01559       4.27096       0.01643       0.04598       0.05000 
       187      10.95760       4.29731       0.01661       0.04603       0.05000 
       188      10.89861       4.32111       0.01678       0.04607       0.05000 
       189      10.83863       4.34506       0.01695       0.04611       0.05000 
       190      10.77769       4.36909       0.01712       0.04615       0.05000 
       191      10.71582       4.39100       0.01729       0.04619       0.05000 
       192      10.65304       4.40753       0.01745       0.04623       0.05000 
       193      10.58940       4.41770       0.01761       0.04627       0.05000 
       194      10.52494       4.42359       0.01777       0.04631       0.05000 
       195      10.45969       4.42758       0.01793       0.04634       0.05000 
       196      10.39370       4.43027       0.01809       0.04638       0.05000 
       197      10.32702       4.42953       0.01824       0.04642       0.05000 
       198      10.25970       4.42245       0.01839       0.04646       0.05000 
       199      10.19179       4.40909       0.01854       0.04649       0.05000 
       200      10.12336       4.39249       0.01869       0.04653       0.05000 
       201      10.05446       4.37489       0.01884       0.04657       0.05000 
       202       9.98514       4.35536       0.01898       0.04660       0.05000 
       203       9.91547       4.33083       0.01912       0.04664       0.05000 
       204       9.84551       4.29990       0.01926       0.04667       0.05000 
       205       9.77533       4.26455       0.01940       0.04671       0.05000 
       206       9.70498       4.22720       0.01954       0.04674       0.05000 
       207       9.63453       4.18810       0.01967       0.04677       0.05000 
       208       9.56406       4.14589       0.01980       0.04681       0.05000 
       209       9.49362       4.09988       0.01993       0.04684       0.05000 
       210       9.42329       4.05114       0.02005       0.04687       0.05000 
       211       9.35314       4.00125       0.02017       0.04691       0.05000 
       212       9.28325       3.95072       0.02028       0.04694       0.05000 
       213       9.21368       3.89931       0.02039       0.04697       0.05000 
       214       9.14452       3.84650       0.02048       0.04700       0.05000 
       215       9.07584       3.79200       0.02057       0.04703       0.05000 
       216       9.00772       3.73635       0.02065       0.04706       0.05000 
       217       8.94026       3.68061       0.02071       0.04709       0.05000 
       218       8.87354       3.62519       0.02076       0.04712       0.05000 
       219       8.80764       3.56934       0.02080       0.04715       0.05000 
       220       8.74267       3.51222       0.02082       0.04718       0.05000 
       221       8.67871       3.45416       0.02082       0.04721       0.05000 
       222       8.61586       3.39574       0.02080       0.04724       0.05000 
       223       8.55421       3.33658       0.02076       0.04727       0.05000 
       224       8.49385       3.27595       0.02070       0.04730       0.05000 
       225       8.43489       3.21360       0.02062       0.04732       0.05000 
       226       8.37741       3.14933       0.02052       0.04735       0.05000 
       227       8.32148       3.08267       0.02039       0.04738       0.05000 
       228       8.26720       3.01369       0.02024       0.04740       0.05000 
