 Iteration          f(x)      Gradient          Step       Eff. LR            LR 
         1       0.26296       0.98767       0.05000       0.05000       0.05000 
         2       0.22168       0.91282       0.06717       0.03712       0.05000 
         3       0.15640       0.77434       0.05765       0.03180       0.05000 
         4       0.12181       0.68632       0.05375       0.02886       0.05000 
         5       0.09287       0.59270       0.05123       0.02703       0.05000 
         6       0.05820       0.47025       0.04890       0.02581       0.05000 
         7       0.04688       0.42020       0.04697       0.02498       0.05000 
         8       0.02358       0.29048       0.04448       0.02440       0.05000 
         9       0.01182       0.19453       0.04161       0.02400       0.05000 
        10       0.00509       0.10872       0.03836       0.02374       0.05000 
        11       0.00098       0.01968       0.03456       0.02357       0.05000 
        12       0.00195       0.00525       0.03111       0.02349       0.05000 
        13       0.00619       0.11015       0.02659       0.02346       0.05000 
        14       0.01115       0.14766       0.02207       0.02349       0.05000 
        15       0.00933       0.16348       0.01782       0.02355       0.05000 
        16       0.01351       0.21702       0.01329       0.02365       0.05000 
        17       0.01616       0.23800       0.00894       0.02378       0.05000 
        18       0.02028       0.26403       0.00467       0.02393       0.05000 
        19       0.02242       0.29064       0.00050       0.02410       0.05000 
        20       0.02067       0.27453       0.00306       0.02429       0.05000 
        21       0.02495       0.29476       0.00652       0.02449       0.05000 
        22       0.01742       0.24449       0.00904       0.02470       0.05000 
        23       0.02089       0.25616       0.01148       0.02492       0.05000 
        24       0.01763       0.22656       0.01334       0.02515       0.05000 
        25       0.01394       0.21100       0.01487       0.02539       0.05000 
        26       0.00755       0.11984       0.01514       0.02563       0.05000 
        27       0.00767       0.14079       0.01568       0.02588       0.05000 
        28       0.00367       0.07043       0.01527       0.02613       0.05000 
        29       0.00382       0.07607       0.01498       0.02638       0.05000 
        30       0.00373       0.03430       0.01416       0.02664       0.05000 
        31       0.00185       0.01580       0.01316       0.02690       0.05000 
        32       0.00143       0.02911       0.01159       0.02715       0.05000 
        33       0.00373       0.02922       0.01016       0.02741       0.05000 
        34       0.00253       0.05010       0.00853       0.02767       0.05000 
        35       0.00460       0.06649       0.00678       0.02793       0.05000 
        36       0.00362       0.07358       0.00507       0.02818       0.05000 
        37       0.00507       0.10544       0.00299       0.02844       0.05000 
        38       0.00612       0.10477       0.00109       0.02869       0.05000 
        39       0.00683       0.14156       0.00125       0.02895       0.05000 
        40       0.00276       0.08755       0.00254       0.02920       0.05000 
        41       0.00622       0.13181       0.00444       0.02945       0.05000 
        42       0.00560       0.11787       0.00597       0.02970       0.05000 
        43       0.00541       0.08055       0.00677       0.02994       0.05000 
        44       0.00526       0.09253       0.00772       0.03018       0.05000 
